,Mkt-RF,SMB,HML,RMW,CMA,mom,st_rev,lt_rev
1969-07-01,0.0046,0.0036,-0.005699999999999999,-0.0042,-0.0038,0.004,0.011000000000000001,-0.0032
1969-07-02,0.0086,0.0026,-0.0044,0.0011,-0.0038,0.0040999999999999995,0.0044,0.0001
1969-07-03,0.0074,0.0037,-0.0036,-0.0008,-0.0025,0.0001,0.009000000000000001,-0.0042
1969-07-07,-0.0068000000000000005,-0.0004,0.0052,0.0013,0.0066,0.0021,0.0001,0.0054
1969-07-08,-0.0138,0.0011,0.0045000000000000005,0.0029,0.0070999999999999995,0.0046,0.0002,0.0034000000000000002
1969-07-09,-0.008,-0.0026,0.0009,-0.0014000000000000002,0.0022,0.001,0.0011,0.0033
1969-07-10,-0.0161,-0.0039000000000000003,0.0044,0.0019,0.0054,0.0049,-0.0052,0.0059
1969-07-11,0.0029,-0.0062,0.0004,0.0029,0.0004,-0.0024,-0.0007000000000000001,0.0019
1969-07-14,-0.0137,-0.0025,0.0067,-0.0025,0.0064,0.0023,-0.0029,0.0076
1969-07-15,-0.0043,-0.005699999999999999,0.0011,0.0034000000000000002,-0.0007000000000000001,-0.0015,-0.0011,0.0017000000000000001
1969-07-16,0.010700000000000001,0.001,-0.006,0.0002,-0.0045000000000000005,-0.0017000000000000001,0.0087,-0.0074
1969-07-17,0.0053,-0.0019,-0.0009,0.0011,0.0018,0.0045000000000000005,0.0013,0.0
1969-07-18,-0.0078000000000000005,0.0023,0.0032,-0.0009,0.0025,0.0043,0.0,0.0033
1969-07-22,-0.015700000000000002,0.0014000000000000002,0.0058,0.0042,0.0064,0.0058,-0.008,0.009399999999999999
1969-07-23,-0.0053,-0.006999999999999999,-0.0046,0.0019,-0.0038,-0.0006,-0.0018,-0.0014000000000000002
1969-07-24,-0.0042,-0.0013,0.0039000000000000003,-0.0017000000000000001,0.0021,0.0027,-0.0011,0.0006
1969-07-25,-0.0103,-0.0028000000000000004,0.0059,0.0009,0.008,0.0032,-0.0062,0.009899999999999999
1969-07-28,-0.0226,-0.0161,0.0144,0.006500000000000001,0.0078000000000000005,0.0043,-0.008,0.013300000000000001
1969-07-29,-0.009300000000000001,-0.0079,0.0036,0.0007000000000000001,0.0006,0.0001,0.0023,0.0066
1969-07-30,0.0052,0.0016,-0.0108,-0.0003,-0.0092,-0.0026,0.0233,-0.0127
1969-07-31,0.0222,0.0046,-0.0123,-0.0018,-0.0096,-0.0027,0.024700000000000003,-0.0084
1969-08-01,0.0197,0.0066,-0.004699999999999999,-0.0029,-0.0068000000000000005,-0.0049,0.0191,-0.0101
1969-08-04,-0.0053,-0.0004,0.0034000000000000002,0.0003,0.0007000000000000001,0.0052,-0.0014000000000000002,0.004699999999999999
1969-08-05,0.0042,-0.0043,-0.0039000000000000003,0.0021,-0.005600000000000001,0.0031,0.0031,-0.0033
1969-08-06,0.006500000000000001,0.0026,-0.005600000000000001,0.003,-0.0029,0.0027,0.0031,-0.005699999999999999
1969-08-07,0.0009,-0.0004,0.0,0.0006,0.0005,-0.0001,0.004,0.0009
1969-08-08,-0.0003,-0.0011,0.0021,0.0014000000000000002,0.0023,0.0018,0.006,0.003
1969-08-11,-0.0059,0.0,0.0012,0.002,0.0011,0.0027,0.0040999999999999995,-0.0007000000000000001
1969-08-12,-0.008199999999999999,-0.0021,0.0024,0.0028000000000000004,0.0008,0.0046,-0.0011,0.0046
1969-08-13,0.0003,-0.0024,-0.0055000000000000005,0.0001,-0.0062,0.0048,-0.0017000000000000001,-0.0045000000000000005
1969-08-14,0.0075,0.0033,-0.0095,0.0013,-0.0072,0.0016,-0.0034999999999999996,-0.008100000000000001
1969-08-15,0.008100000000000001,-0.0018,-0.0037,0.0019,-0.002,-0.0002,0.0034000000000000002,-0.0027
1969-08-18,0.0072,0.0037,-0.005600000000000001,0.0006,-0.0040999999999999995,-0.0021,0.0036,-0.008100000000000001
1969-08-19,0.0054,0.0028000000000000004,-0.0039000000000000003,0.0007000000000000001,-0.0015,-0.0046,0.0059,-0.0014000000000000002
1969-08-20,-0.0002,-0.0007000000000000001,0.0015,-0.0004,-0.0011,0.0021,0.0027,0.0031
1969-08-21,0.0025,0.0001,-0.0026,0.0,-0.0023,0.0015,-0.0008,-0.0032
1969-08-22,0.006500000000000001,-0.0003,-0.0023,0.0,-0.0015,-0.0011,-0.0068000000000000005,-0.0031
1969-08-25,-0.009300000000000001,0.0025,0.0059,0.0005,0.005600000000000001,0.001,0.0115,0.0053
1969-08-26,-0.0074,-0.0013,0.0015,0.001,-0.0002,0.0027,0.0063,0.0021
1969-08-27,0.0027,0.0004,-0.0042,0.0,-0.0048,-0.0039000000000000003,-0.0044,-0.0059
1969-08-28,0.0040999999999999995,-0.0022,-0.0036,0.0018,-0.0034000000000000002,-0.0001,-0.0006,-0.005699999999999999
1969-08-29,0.0074,0.0002,0.0005,-0.0054,-0.0012,-0.0064,0.0027,-0.0024
1969-09-02,-0.0011,-0.0006,0.0042,-0.0025,0.0021,-0.0003,0.0053,0.003
1969-09-03,-0.0070999999999999995,-0.002,0.0042,0.0011,0.0066,0.0027,0.0073,0.0053
1969-09-04,-0.0087,0.0,-0.0018,0.003,0.0008,0.006,0.0046,0.002
1969-09-05,-0.006500000000000001,-0.0003,0.0001,0.0012,0.0016,0.0017000000000000001,0.003,0.0005
1969-09-08,-0.010700000000000001,-0.0012,0.0036,0.0012,0.0053,0.0040999999999999995,0.0009,0.0046
