,Mkt-RF,SMB,HML,RMW,CMA,RF
1963-07-01,-0.0067,0.0002,-0.0034999999999999996,0.0003,0.0013,0.00012
1963-07-02,0.0079,-0.0028000000000000004,0.0028000000000000004,-0.0008,-0.0021,0.00012
1963-07-03,0.0063,-0.0018,-0.001,0.0013,-0.0025,0.00012
1963-07-05,0.004,0.0009,-0.0028000000000000004,0.0007000000000000001,-0.003,0.00012
1963-07-08,-0.0063,0.0007000000000000001,-0.002,-0.0027,0.0006,0.00012
1963-07-09,0.0045000000000000005,0.0,0.0009,0.0015,-0.0001,0.00012
1963-07-10,-0.0018,0.002,0.0,0.0005,-0.0009,0.00012
1963-07-11,-0.0016,0.0012,-0.0029,-0.0003,0.0007000000000000001,0.00012
1963-07-12,-0.0012,0.0001,-0.0009,0.0009,0.0008,0.00012
1963-07-15,-0.0062,0.0007000000000000001,-0.0003,0.0015,-0.001,0.00012
1963-07-16,-0.0007000000000000001,-0.0006,0.0013,-0.0004,-0.001,0.00012
1963-07-17,-0.0033,-0.0008,0.0012,0.0004,0.0008,0.00012
1963-07-18,-0.0054,0.0026,0.0007000000000000001,-0.0007000000000000001,0.0021,0.00012
1963-07-19,-0.0023,-0.0003,-0.0006,0.0016,-0.0034000000000000002,0.00012
1963-07-22,-0.006999999999999999,-0.001,-0.0034999999999999996,0.0003,-0.0014000000000000002,0.00012
1963-07-23,0.0001,-0.001,-0.0019,0.0003,-0.0009,0.00012
1963-07-24,0.0046,-0.0011,-0.0003,-0.0012,-0.0025,0.00012
1963-07-25,-0.0004,0.0014000000000000002,0.0028000000000000004,-0.0015,0.0013,0.00012
1963-07-26,0.0034999999999999996,-0.0013,0.0007000000000000001,0.0,-0.0014000000000000002,0.00012
1963-07-29,0.0011,-0.0018,0.0024,0.0003,-0.0003,0.00012
1963-07-30,0.0084,-0.0027,-0.0026,0.0048,-0.0032,0.00012
1963-07-31,-0.0013,0.0011,-0.0003,-0.0013,0.003,0.00012
