date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
2017-01-03,786.140015,113.847588,116.860001,88.599998,753.669983,30.404533,11.43,66.533134,22.096642,33.415901,39.86615,29.870001,9.72,86.670731,32.429317,41.446667,104.299248,31.459467,84.413986,54.048016
2017-01-04,786.900024,113.720169,118.690002,90.510002,757.179993,30.414125,11.43,66.920738,22.508562,35.260189,39.634476,30.540001,10.36,85.717155,33.374344,42.425648,105.288902,31.735929,84.569679,54.672962
2017-01-05,794.02002,114.29847,120.669998,94.370003,780.450012,30.241426,11.24,67.066093,22.243753,34.594723,39.523277,30.290001,10.39,84.439362,34.020943,41.330357,106.102089,32.040993,83.791222,55.131905
2017-01-06,806.150024,115.572701,123.410004,93.889999,795.98999,30.327776,11.32,66.145531,22.243753,34.214458,38.735809,30.469999,9.56,84.391678,34.050785,41.456364,106.865707,31.917057,83.800941,55.786144
2017-01-09,806.650024,116.631287,124.900002,94.720001,796.919983,30.183859,11.49,66.581581,22.116253,34.233471,38.248329,30.469999,9.1,82.999451,32.588478,42.008858,106.657455,31.907528,83.859329,56.830975
2017-01-10,804.789978,116.748909,124.349998,96.75,795.900024,30.097513,11.44,66.116455,22.498756,35.507362,38.257702,30.709999,9.14,81.940979,33.185337,42.512886,106.429359,31.878929,84.102608,56.518505
2017-01-11,807.909973,117.376228,126.089996,96.940002,799.02002,30.193455,11.2,66.407158,22.626253,36.077759,38.07021,30.549999,9.11,82.780128,33.354446,42.086399,106.915291,31.297407,84.7351,56.73333
2017-01-12,806.359985,116.886131,126.620003,95.900002,813.640015,30.116699,10.76,65.86451,22.479137,35.659466,38.445194,30.379999,8.81,82.331947,33.812042,42.871517,107.807816,31.07814,83.917709,56.66497
2017-01-13,807.880005,116.680298,128.339996,96.269997,817.140015,30.087919,10.58,65.050529,22.567408,35.497852,38.398319,30.08,8.74,82.341484,33.463871,42.483807,107.797897,31.001877,84.365318,56.489212
2017-01-17,804.609985,117.621277,127.870003,96.120003,809.719971,30.00157,9.82,66.30056,21.625872,35.469334,38.53894,30.139999,8.92,83.304596,33.583241,43.501556,107.500397,30.563351,81.300156,56.635685
2017-01-18,806.070007,117.611465,127.919998,96.0,807.47998,29.963192,9.88,66.000175,22.194715,35.621441,38.248329,29.35,8.87,82.274727,34.170155,43.394936,107.758232,30.53475,81.679665,57.0751
2017-01-19,802.174988,117.405624,127.550003,96.169998,809.039978,29.944002,9.77,65.52536,22.096642,35.459831,38.435822,29.200001,8.94,80.7967,34.289524,42.289948,107.629318,30.220158,81.056892,56.528271
2017-01-20,805.02002,117.621277,127.040001,96.059998,808.330017,29.291586,9.75,65.098976,22.204523,35.184139,38.857674,29.02,9.33,81.90284,34.359161,42.028244,109.047455,30.286886,81.416916,56.303677
2017-01-23,819.309998,117.699692,128.929993,98.410004,817.880005,28.543226,9.91,64.585396,22.126062,34.841896,39.37328,28.450001,9.33,81.025551,33.961254,42.202713,108.720184,29.99136,81.455841,56.401325
2017-01-24,823.869995,117.591873,129.369995,101.43,822.440002,28.783085,10.44,65.312172,22.508562,35.174625,38.773312,28.540001,9.43,81.139969,33.881676,42.813362,109.007774,29.695829,82.438652,57.065327
2017-01-25,835.669983,119.464005,131.479996,104.059998,836.52002,29.138079,10.35,64.817963,22.920483,36.391479,38.80143,29.299999,8.77,81.378365,33.652882,43.298008,109.275551,29.829296,83.713371,57.319218
2017-01-26,832.150024,119.52282,132.779999,102.75,839.150024,29.090103,10.52,64.662918,22.989138,35.668972,39.157661,29.129999,7.96,81.626305,34.259682,43.840805,108.47226,29.819761,84.413986,57.084862
2017-01-27,823.309998,119.532608,132.179993,102.07,835.77002,28.792681,10.67,63.626064,22.910675,35.184139,39.382652,29.129999,7.42,81.540489,35.523037,42.134865,108.928436,29.953228,84.589142,54.799904
2017-01-30,802.320007,119.218956,130.979996,101.019997,830.380005,28.744707,10.61,64.362526,22.508562,34.537685,39.204536,28.940001,6.86,80.920662,33.165447,42.861824,108.392937,29.84836,83.713371,54.585079
2017-01-31,796.789978,118.944504,130.320007,101.309998,823.47998,28.495253,10.37,64.672615,22.204523,34.803871,39.523273,21.49,6.98,79.995682,32.170677,43.152611,105.447578,30.248755,82.351067,53.921074
2017-02-01,795.695007,126.197807,133.229996,101.57,832.349976,28.485659,12.06,64.178413,22.449715,34.357056,39.429531,21.440001,6.65,79.089783,31.643452,43.133228,104.128609,30.499144,82.662445,52.632126
2017-02-02,798.530029,125.982185,130.839996,100.839996,839.950012,28.476065,12.28,64.63385,22.282986,33.967281,38.604565,20.65,6.6,79.576103,32.608376,42.949066,104.267448,30.556925,82.312149,52.602829
2017-02-03,801.48999,126.521278,130.979996,100.389999,810.200012,28.495253,12.24,64.440041,22.84202,34.537685,38.670185,20.700001,6.88,79.661919,33.294769,43.356159,105.695496,30.903616,84.832413,53.764839
