,LT_Rev
19300320,  -0.41
19300321,  -0.42
19300322,  -0.29
19300324,   0.77
19300325,  -0.01
19300326,  -0.01
19300327,  -0.63
19300328,  -0.72
19300329,   0.17
19300331,   0.72
19300401,   0.65
19300402,  -0.08
19300403,   0.28
19300404,  -0.83
19300405,   0.00
19300407,   0.16
19300408,   0.50
19300409,   0.09
19300410,  -0.01
19300411,  -0.14
19300412,  -0.74
19300414,  -0.19
19300415,  -0.30
19300416,   0.10
19300417,   0.08
19300421,   0.78
19300422,   0.51
19300423,   0.65
19300424,   0.73
19300425,   0.02
19300426,   0.27
19300428,   0.35
19300429,   0.45
19300430,  -0.23
19300501,   0.66
19300502,  -0.11
19300503,   0.02
19300505,   0.09
19300506,  -0.81
19300507,   1.28
19300508,  -1.65
19300509,  -1.07
19300510,  -0.40
19300512,   0.26
19300513,   0.13
19300514,  -0.67
19300515,   0.83
19300516,   0.28
19300517,  -0.50
19300519,   0.75
19300520,  -0.09
19300521,  -0.28
19300522,   0.15
19300523,  -0.41
19300524,   0.23
19300526,  -0.58
19300527,  -0.27
19300528,  -0.38
19300529,   0.02
19300602,  -0.65
19300603,   0.96
19300604,   0.67
19300605,   0.34
19300606,   0.23
19300607,   0.31
19300609,  -0.89
19300610,  -0.11
19300611,   0.53
19300612,  -0.63
19300613,  -0.19
19300614,   1.33
19300616,   1.42
19300617,  -1.20
19300618,   0.92
19300619,  -1.92
19300620,   0.60
19300621,   1.12
19300623,  -1.54
19300624,   0.63
19300625,  -0.39
19300626,  -0.90
19300627,   0.26
19300628,   0.54
19300630,  -0.45
19300701,   0.71
19300702,  -0.50
19300703,   0.55
19300707,   0.88
19300708,  -0.46
19300709,  -0.19
19300710,  -0.28
19300711,  -0.57
19300712,  -0.87
19300714,  -0.89
19300715,   0.21
19300716,   0.12
19300717,  -0.49
19300718,  -1.22
19300719,   0.42
19300721,   1.78
19300722,  -1.10
19300723,  -0.83
19300724,  -0.04
19300725,  -0.23
19300726,  -0.77
19300728,  -1.17
19300729,  -0.04
19300730,   2.61
19300731,  -1.24
19300801,   1.40
19300802,  -1.11
19300804,  -0.67
19300805,  -0.41
19300806,   0.98
19300807,  -0.12
19300808,   1.29
19300809,   0.42
19300811,  -0.49
19300812,   1.08
19300813,  -0.63
19300814,   0.32
19300815,  -0.88
19300816,   0.51
19300818,  -0.66
19300819,  -1.11
19300820,  -0.62
19300821,  -0.22
19300822,   0.19
19300823,  -0.13
19300825,  -0.48
19300826,  -0.55
19300827,  -0.05
19300828,  -0.66
19300829,  -0.85
19300902,   1.39
19300903,   0.15
19300904,   0.18
19300905,   0.70
19300906,  -1.47
19300908,   0.65
19300909,  -0.79
19300910,  -0.54
19300911,   0.79
19300912,  -0.03
19300913,  -0.04
19300915,   0.03
19300916,  -0.93
19300917,   0.75
19300918,  -0.51
19300919,   0.52
19300920,   0.20
19300922,  -1.11
19300923,  -0.53
19300924,  -1.29
19300925,   0.49
19300926,  -1.64
19300927,  -0.60
19300929,  -0.07
19300930,  -1.18
19301001,  -1.15
19301002,  -0.18
19301003,   0.16
19301004,   0.32
19301006,   0.16
19301007,  -1.93
19301008,   0.44
19301009,  -0.52
19301010,  -2.27
19301011,   2.02
19301014,  -1.00
19301015,   0.99
19301016,   0.81
19301017,  -0.41
19301018,  -1.54
19301020,   0.13
19301021,   1.07
19301022,  -1.02
19301023,   1.61
19301024,   0.00
19301025,   0.86
19301027,  -0.70
19301028,  -0.08
19301029,  -0.69
19301030,   1.49
19301031,  -1.08
19301101,  -0.37
19301103,  -0.97
19301105,   0.67
19301106,  -0.79
19301107,   0.13
19301108,   0.02
19301110,  -1.12
19301111,  -1.80
19301112,  -1.06
19301113,  -0.83
19301114,  -1.64
19301115,   2.09
19301117,   0.81
19301118,   1.89
19301119,  -0.55
19301120,   2.56
19301121,   0.77
19301122,   0.59
19301124,  -0.34
19301125,  -0.45
19301126,  -1.27
19301128,  -0.50
19301129,  -0.64
19301201,  -0.47
19301202,   0.69
19301203,  -0.14
19301204,  -0.92
19301205,  -1.74
19301206,   0.21
19301208,   0.00
19301209,  -0.47
19301210,  -0.82
19301211,  -1.02
19301212,  -0.85
19301213,  -1.91
19301215,   0.38
19301216,  -2.40
19301217,  -1.41
19301218,   1.32
19301219,  -1.46
19301220,   3.53
19301222,  -1.32
19301223,  -1.49
19301224,  -0.13
19301226,  -0.04
19301227,   0.04
19301229,  -0.83
19301230,  -0.76
19301231,   1.77
19310102,   0.64
19310103,   1.67
19310105,   1.30
19310106,   0.20
19310107,  -0.86
19310108,   0.97
19310109,  -0.12
19310110,   0.50
19310112,  -0.20
19310113,  -1.02
19310114,  -0.33
19310115,   1.33
19310116,  -0.44
19310117,  -0.25
19310119,   0.10
19310120,  -0.29
19310121,  -0.22
19310122,  -0.30
19310123,  -0.86
19310124,  -0.28
19310126,  -0.73
19310127,   1.04
19310128,  -1.45
19310129,   0.19
19310130,  -0.59
19310131,  -0.10
19310202,   0.27
19310203,  -0.21
19310204,   1.39
19310205,  -0.65
19310206,  -0.34
19310207,   0.19
19310209,   0.71
19310210,  -1.30
19310211,  -1.62
19310213,   0.61
19310214,   0.90
19310216,  -0.02
19310217,  -0.02
19310218,  -0.78
19310219,  -0.49
19310220,   0.59
19310221,  -0.21
19310224,  -0.48
19310225,   0.25
19310226,   0.40
19310227,   0.28
19310228,   0.29
19310302,   0.67
19310303,  -0.53
19310304,   0.24
19310305,  -1.73
19310306,  -0.56
19310307,  -0.83
19310309,   1.51
19310310,   0.71
19310311,  -0.39
19310312,   0.40
19310313,  -0.80
19310314,  -0.14
19310316,  -0.39
19310317,   0.59
19310318,   0.94
19310319,   0.99
19310320,  -0.41
19310321,   0.49
19310323,  -0.23
19310324,   0.83
19310325,  -0.27
19310326,  -0.14
19310327,   0.46
19310328,  -0.19
19310330,  -0.65
19310331,  -0.15
19310401,  -0.37
19310402,   0.69
19310404,  -0.25
19310406,   0.66
19310407,   1.22
19310408,  -0.07
19310409,   1.10
19310410,  -0.13
19310411,  -0.70
19310413,  -1.09
19310414,   0.02
19310415,  -0.30
19310416,   0.00
19310417,  -0.17
19310418,   0.68
19310420,   0.45
19310421,  -1.50
19310422,   0.24
19310423,  -0.97
19310424,  -0.66
19310425,   0.09
19310427,  -3.11
19310428,   0.16
19310429,   0.11
19310430,   0.68
19310501,   1.77
19310502,  -0.35
19310504,   0.90
19310505,   1.76
19310506,  -0.66
19310507,  -0.19
19310508,  -0.07
19310509,  -0.28
19310511,   0.31
19310512,   0.95
19310513,  -0.69
19310514,  -0.10
19310515,  -0.91
19310516,  -1.40
19310518,  -0.89
19310519,  -1.47
19310520,   1.61
19310521,  -0.89
19310522,   0.68
19310523,   1.51
19310525,  -0.48
19310526,  -0.94
19310527,  -0.18
19310528,  -0.16
19310529,  -1.30
19310601,  -2.42
19310602,  -1.14
19310603,   2.47
19310604,  -0.50
19310605,   0.75
19310606,  -0.36
19310608,  -0.03
19310609,   0.97
19310610,  -0.69
19310611,   0.00
19310612,   1.27
19310613,   0.25
19310615,  -0.10
19310616,   0.84
19310617,  -1.55
19310618,  -0.66
19310619,   1.05
19310620,  -0.24
19310622,   1.49
19310623,  -1.00
19310624,   3.80
19310625,  -1.64
19310626,   2.55
19310627,   0.88
19310629,  -1.66
19310630,  -0.68
19310701,   0.27
19310702,  -0.24
19310703,   1.04
19310706,  -1.11
19310707,  -1.26
19310708,   0.11
19310709,   0.95
19310710,   1.78
19310711,  -0.46
19310713,  -0.31
19310714,  -1.22
19310715,  -1.57
19310716,   0.35
19310717,   0.74
19310718,   0.12
19310720,   1.64
19310721,   0.77
19310722,  -0.21
19310723,   0.49
19310724,   0.00
19310725,   0.80
19310727,  -1.50
19310728,   1.48
19310729,   0.16
19310730,   2.47
19310731,  -0.07
19310801,  -0.26
19310803,  -0.10
19310804,  -1.42
19310805,  -0.32
19310806,  -0.83
19310807,  -0.89
19310808,  -0.06
19310810,  -0.94
19310811,   0.40
19310812,   0.75
19310813,  -0.03
19310814,   1.75
19310815,  -0.84
19310817,  -0.98
19310818,   0.23
19310819,  -0.07
19310820,  -0.39
19310821,  -0.63
19310822,  -0.59
19310824,   1.38
19310825,  -0.16
19310826,  -1.09
19310827,  -0.60
19310828,  -0.79
19310829,  -0.40
19310831,   0.37
19310901,  -0.76
19310902,   0.09
19310903,  -1.83
19310904,   1.06
19310908,  -2.88
19310909,  -1.22
19310910,   0.49
19310911,   0.92
19310912,  -0.33
19310914,  -1.93
19310915,  -1.63
19310916,  -2.04
19310917,   0.95
19310918,  -0.57
19310919,  -2.28
19310921,   0.19
19310922,   0.23
19310923,   4.38
19310924,  -0.79
19310925,  -0.01
19310926,   0.97
19310928,  -0.74
19310929,  -0.33
19310930,  -1.64
19311001,  -2.49
19311002,   0.07
19311003,   2.16
19311005,  -2.35
19311006,  -0.63
19311007,   2.45
19311008,   2.25
19311009,  -0.16
19311010,   2.76
19311013,  -1.26
19311014,  -0.18
19311015,   0.79
19311016,   0.15
19311017,  -0.94
19311019,  -0.79
19311020,   2.16
19311021,  -1.84
19311022,  -1.18
19311023,   0.53
19311024,  -0.28
19311026,   0.09
19311027,  -0.40
19311028,   1.02
19311029,  -0.31
19311030,   1.57
19311031,   0.83
19311102,   1.19
19311104,   1.42
19311105,  -0.38
19311106,  -0.46
19311107,   0.16
19311109,  -0.26
19311110,  -1.56
19311111,   1.38
19311112,  -0.52
19311113,  -0.55
19311114,  -0.98
19311116,   0.84
19311117,   0.76
19311118,  -0.37
19311119,  -1.54
19311120,  -0.08
19311121,  -0.67
19311123,  -0.24
19311124,  -1.01
19311125,   0.67
19311127,   0.44
19311128,  -0.37
