,0
2001-04-11,-509.92976328430336
2001-04-12,-488.6955675736699
2001-04-16,-597.0393513754061
2001-04-17,-678.1594797538922
2001-04-18,-656.0651836565515
2001-04-19,-556.724916317695
2001-04-20,-505.8875953707877
2001-04-23,-544.1985544139027
2001-04-24,-532.8376602085887
2001-04-25,-582.6696506179472
2001-04-26,-496.28193938028176
2001-04-27,-536.7270275961168
2001-04-30,-559.6454655673339
2001-05-01,-604.2429400640176
2001-05-02,-485.8816594244343
2001-05-03,-495.22223113701324
2001-05-04,-466.30780332147634
2001-05-07,-471.1403133225434
2001-05-08,-461.5666949921383
2001-05-09,-476.2712847568862
2001-05-10,-469.9290023180907
2001-05-11,-458.19535040439433
2001-05-14,-467.43189685390627
2001-05-15,-488.33969937276305
2001-05-16,-519.3379709341575
2001-05-17,-467.71559608230336
2001-05-18,-498.0641689406143
2001-05-21,-469.1191099282037
2001-05-22,-466.7823822253525
2001-05-23,-465.850640268351
2001-05-24,-452.8866910910913
2001-05-25,-465.224820937255
2001-05-29,-454.75116073624963
2001-05-30,-484.3841518513169
2001-05-31,-475.90241684696923
2001-06-01,-440.16031018916954
2001-06-04,-486.3919759149676
2001-06-05,-468.24493451773924
2001-06-06,-472.40536198844256
2001-06-07,-443.6706876980096
2001-06-08,-443.048046134278
2001-06-11,-483.524221459471
2001-06-12,-491.0249739644959
2001-06-13,-473.12227795125375
2001-06-14,-572.8744372839753
2001-06-15,-480.0565304313137
2001-06-18,-486.78414430042966
2001-06-19,-515.771299367693
2001-06-20,-554.101538156825
2001-06-21,-498.22626075041666
2001-06-22,-471.33697354652463
2001-06-25,-482.295826992747
2001-06-26,-529.5396392728634
2001-06-27,-507.2896668282562
2001-06-28,-579.2844948158082
2001-06-29,-499.7858748507901
2001-07-02,-444.5280948476586
2001-07-03,-477.5654470885166
2001-07-05,-453.8311355900198
2001-07-06,-465.30287587119824
2001-07-09,-477.151983598229
2001-07-10,-572.0596914398222
2001-07-11,-533.8821957147964
2001-07-12,-472.7523925771088
2001-07-13,-518.443185944222
2001-07-16,-538.7335814965827
2001-07-17,-518.7341156595953
2001-07-18,-538.7400993238084
2001-07-19,-483.84764432397225
2001-07-20,-481.19811970015667
2001-07-23,-505.14520373551045
2001-07-24,-596.7810075686378
2001-07-25,-566.3912763296236
2001-07-26,-488.7196397177844
2001-07-27,-477.6560694938522
2001-07-30,-509.6253759368555
2001-07-31,-507.2896822870869
2001-08-01,-548.2591653192751
2001-08-02,-441.7583789413184
2001-08-03,-439.07412313880405
2001-08-06,-444.81737559109536
2001-08-07,-449.4081305998287
2001-08-08,-455.6529611501156
2001-08-09,-439.77209960691505
2001-08-10,-447.8514700018762
2001-08-13,-450.3188886060812
2001-08-14,-495.8892631216982
2001-08-15,-488.66042851198415
2001-08-16,-458.13162156068125
2001-08-17,-485.5957883599822
2001-08-20,-465.5134656792005
2001-08-21,-471.44167808592215
2001-08-22,-479.684318013571
2001-08-23,-469.80767320395955
2001-08-24,-449.8867481518957
2001-08-27,-436.35732595640485
2001-08-28,-452.6350079909466
2001-08-29,-469.1982619921323
2001-08-30,-444.4007353636963
2001-08-31,-508.9407511002472
2001-09-04,-478.54583510194686
2001-09-05,-518.3935108894841
2001-09-06,-474.83360992153433
2001-09-07,-490.5091643450859
2001-09-10,-1114.0424096350357
2001-09-17,-658.6137287716097
2001-09-18,-630.2276224628831
2001-09-19,-691.6730826044081
2001-09-20,-740.6104451314702
2001-09-21,-644.1286648589703
2001-09-24,-576.6241411674373
2001-09-25,-889.5115445247222
2001-09-26,-610.8454731644578
2001-09-27,-571.0995972754978
2001-09-28,-510.2776278900466
2001-10-01,-561.6047379852142
2001-10-02,-610.7858699755561
2001-10-03,-505.60757655007023
2001-10-04,-552.5741282209133
2001-10-05,-477.8772708213546
2001-10-08,-546.0965304953745
2001-10-09,-589.7265180736268
2001-10-10,-618.8873759419678
2001-10-11,-509.3148641762949
2001-10-12,-478.0442421769623
2001-10-15,-497.6155675037731
2001-10-16,-587.4840501275903
2001-10-17,-532.9295274832515
2001-10-18,-517.2500357762434
2001-10-19,-513.8914220762175
2001-10-22,-520.9438145599372
2001-10-23,-518.5871993655965
2001-10-24,-503.0212899737234
2001-10-25,-479.97226978643374
2001-10-26,-492.506379770712
2001-10-29,-569.6445702720803
2001-10-30,-503.5692154413956
2001-10-31,-501.738444001049
2001-11-01,-517.5431141677964
2001-11-02,-483.00175938468715
2001-11-05,-496.14774458889747
2001-11-06,-518.4541361725887
2001-11-07,-494.25196904887514
2001-11-08,-459.68905480670105
2001-11-09,-446.7198389249563
2001-11-12,-478.6435095382766
2001-11-13,-562.7360000635831
2001-11-14,-519.2629356358794
2001-11-15,-481.1586396760248
2001-11-16,-478.6053547501615
2001-11-19,-464.02443348586075
2001-11-20,-449.8547412227343
2001-11-21,-424.7338869059034
2001-11-23,-466.6046593331487
2001-11-26,-436.50895508872884
2001-11-27,-479.06568944398384
2001-11-28,-453.1433010435323
2001-11-29,-457.53287325711267
2001-11-30,-427.9993965563014
2001-12-03,-453.8243017375746
2001-12-04,-486.74648232601925
2001-12-05,-473.550037127523
2001-12-06,-791.5448910651809
2001-12-07,-505.29197546137493
2001-12-10,-517.1416419557571
2001-12-11,-483.02663087220424
2001-12-12,-467.2831878622079
2001-12-13,-469.8046738521632
2001-12-14,-500.06414320185036
2001-12-17,-469.3868132628829
2001-12-18,-478.01735661368934
2001-12-19,-477.2635951280008
2001-12-20,-476.1344519414443
2001-12-21,-415.6397317442592
2001-12-24,-425.37034598290285
2001-12-26,-428.18011590042926
2001-12-27,-423.667389159336
2001-12-28,-411.25706850637596
2001-12-31,-445.48575191984173
2002-01-02,-468.44409234349314
2002-01-03,-458.20955413080276
2002-01-04,-430.6158679930852
2002-01-07,-446.7920455319128
2002-01-08,-432.51871302804705
2002-01-09,-463.92731510111025
2002-01-10,-450.50929923005674
2002-01-11,-438.2535922565099
2002-01-14,-468.34575760790415
2002-01-15,-452.6389500244192
2002-01-16,-476.8605720522094
2002-01-17,-434.16990999461785
2002-01-18,-489.1803703258955
2002-01-22,-487.05162647211483
2002-01-23,-510.35615892514227
2002-01-24,-463.20772364312216
2002-01-25,-462.8648378106761
2002-01-28,-592.4350565051477
2002-01-29,-489.8737687062071
2002-01-30,-487.608275841434
2002-01-31,-502.00200801870363
2002-02-01,-486.62700473042
2002-02-04,-543.7509327392722
2002-02-05,-569.7853449664472
2002-02-06,-500.2879048885248
2002-02-07,-483.15358404972056
2002-02-08,-481.0716673144493
2002-02-11,-443.9249158372277
2002-02-12,-475.18846372691644
2002-02-13,-455.19952765646576
2002-02-14,-489.3645298834407
2002-02-15,-497.792977320604
2002-02-19,-470.81343441230797
2002-02-20,-461.7981200785967
2002-02-21,-458.5775109911286
2002-02-22,-501.8249293272916
2002-02-25,-463.9865874172739
2002-02-26,-478.795336806954
2002-02-27,-482.05062535028327
2002-02-28,-509.1119138102446
2002-03-01,-542.6052973629896
2002-03-04,-510.94839699232386
2002-03-05,-454.9039432532468
2002-03-06,-472.7504580805827
2002-03-07,-477.7967561136722
2002-03-08,-452.33656946616844
2002-03-11,-439.25480971195816
2002-03-12,-429.7123207910014
2002-03-13,-438.213995289992
2002-03-14,-469.77686001019197
2002-03-15,-438.73296926426735
2002-03-18,-461.1912142133894
2002-03-19,-481.84777116109234
2002-03-20,-445.07749544216864
2002-03-21,-433.68076076896466
2002-03-22,-425.06839293594135
2002-03-25,-436.58663500234564
2002-03-26,-444.66301152797394
2002-03-27,-425.5230573063902
2002-03-28,-423.0524597760334
2002-04-01,-433.2036822942777
