,0
2001-04-11,-1114.1889240839157
2001-04-12,-976.98625504569
2001-04-16,-1308.3348749746967
2001-04-17,-3096.8399444761926
2001-04-18,-1760.2915716485077
2001-04-19,-1045.6286850494253
2001-04-20,-1346.7052419409506
2001-04-23,-781.5236753578498
2001-04-24,-935.8643042800406
2001-04-25,-1168.2188047205766
2001-04-26,-842.0010000813033
2001-04-27,-1008.8730092881584
2001-04-30,-1289.1615801397318
2001-05-01,-1486.1620953465963
2001-05-02,-957.2675698721036
2001-05-03,-720.842876943341
2001-05-04,-673.6494663418051
2001-05-07,-692.4288400051955
2001-05-08,-542.8864407062495
2001-05-09,-824.8539875556334
2001-05-10,-759.3494665533954
2001-05-11,-627.0527192313177
2001-05-14,-597.7156001791905
2001-05-15,-629.0395194519756
2001-05-16,-878.1208576648671
2001-05-17,-727.8890099432539
2001-05-18,-841.5218830802801
2001-05-21,-604.6709078537297
2001-05-22,-568.9125348952784
2001-05-23,-594.1741604601327
2001-05-24,-572.8131744220136
2001-05-25,-627.7647050180126
2001-05-29,-494.90425048427073
2001-05-30,-643.5340871366843
2001-05-31,-735.7020828037056
2001-06-01,-525.9284759245423
2001-06-04,-650.4805522387489
2001-06-05,-616.5533405905129
2001-06-06,-541.8348245631041
2001-06-07,-511.1358460931369
2001-06-08,-602.760108086781
2001-06-11,-665.8051092405251
2001-06-12,-732.8103462022475
2001-06-13,-614.2973478483932
2001-06-14,-958.1983074742886
2001-06-15,-723.5044365792662
2001-06-18,-726.2108408970269
2001-06-19,-730.3580423868257
2001-06-20,-935.5565446183548
2001-06-21,-602.3081644726531
2001-06-22,-658.7415338448047
2001-06-25,-657.5544417052963
2001-06-26,-694.9551120032648
2001-06-27,-677.8408569861222
2001-06-28,-947.7326944261278
2001-06-29,-623.7403165568114
2001-07-02,-522.2809500099172
2001-07-03,-611.909772379156
2001-07-05,-556.9776158460661
2001-07-06,-535.0256863383411
2001-07-09,-566.1508281144386
2001-07-10,-924.5443472990272
2001-07-11,-707.8940966374887
2001-07-12,-577.9806168679053
2001-07-13,-681.0688041613364
2001-07-16,-848.0823484874331
2001-07-17,-737.8928978029732
2001-07-18,-754.7046353682964
2001-07-19,-534.9431732580692
2001-07-20,-631.8720939838865
2001-07-23,-681.3151010364224
2001-07-24,-868.8907683262644
2001-07-25,-724.029814989079
2001-07-26,-693.0089397732563
2001-07-27,-599.3912172004368
2001-07-30,-706.4321911564723
2001-07-31,-673.3832441242089
2001-08-01,-664.7391031324453
2001-08-02,-511.6018268420118
2001-08-03,-491.6942925545732
2001-08-06,-468.724688200729
2001-08-07,-491.6833697271601
2001-08-08,-498.86609909640725
2001-08-09,-476.0831206917621
2001-08-10,-463.8399107464734
2001-08-13,-575.4985460078292
2001-08-14,-604.3059148737283
2001-08-15,-574.758892564212
2001-08-16,-504.1769029773043
2001-08-17,-571.5417247564699
2001-08-20,-515.8463691281702
2001-08-21,-532.1697715375219
2001-08-22,-553.5387886836461
2001-08-23,-519.4688629533553
2001-08-24,-510.70439411823753
2001-08-27,-465.7407814593747
2001-08-28,-493.38099848053855
2001-08-29,-576.7925272837472
2001-08-30,-507.73454474800735
2001-08-31,-676.7614165468112
2001-09-04,-577.6619353051689
2001-09-05,-605.8152064455539
2001-09-06,-504.1476326617026
2001-09-07,-543.7042395890143
2001-09-10,-2175.2836359850235
2001-09-17,-988.5349521703088
2001-09-18,-907.7904075384232
2001-09-19,-1000.8713269292164
2001-09-20,-1186.5266398230058
2001-09-21,-870.0398195465045
2001-09-24,-780.6436867293846
2001-09-25,-1241.9918229402904
2001-09-26,-817.6244418914793
2001-09-27,-720.9771386287553
2001-09-28,-644.3693699012695
2001-10-01,-743.5110496749373
2001-10-02,-893.2196737335177
2001-10-03,-640.5416629303347
2001-10-04,-660.6425022579622
2001-10-05,-532.285460846693
2001-10-08,-736.8089838854386
2001-10-09,-776.3963854226288
2001-10-10,-746.6928483051361
2001-10-11,-576.9118817261941
2001-10-12,-571.2284427462303
2001-10-15,-600.0147048732765
2001-10-16,-816.4106070515907
2001-10-17,-594.0369969617412
2001-10-18,-629.6820990826101
2001-10-19,-605.3698905078764
2001-10-22,-604.3691109026029
2001-10-23,-593.3126003672351
2001-10-24,-547.7393728786499
2001-10-25,-552.4659265776697
2001-10-26,-568.4940042587493
2001-10-29,-668.0611507449764
2001-10-30,-581.1321782208569
2001-10-31,-587.6462737755438
2001-11-01,-590.4486531591754
2001-11-02,-551.1264141071263
2001-11-05,-542.0962840331118
2001-11-06,-610.2973307346504
2001-11-07,-548.6328380102971
2001-11-08,-508.7206809342905
2001-11-09,-482.583698741548
2001-11-12,-530.3943242937355
2001-11-13,-624.1447435796524
2001-11-14,-579.8176045665808
2001-11-15,-515.6093199227989
2001-11-16,-544.9112853493942
2001-11-19,-516.3277172866574
2001-11-20,-481.8928427537164
2001-11-21,-422.58082439875005
2001-11-23,-500.83805717794144
2001-11-26,-436.66151760690747
2001-11-27,-551.7847894078336
2001-11-28,-486.3172203568972
2001-11-29,-493.5910671757935
2001-11-30,-430.4310872152333
2001-12-03,-473.6260617930965
2001-12-04,-547.8995884423942
2001-12-05,-565.0708673958896
2001-12-06,-1174.3317942923236
2001-12-07,-666.6333772651587
2001-12-10,-603.0990156931906
2001-12-11,-517.957376104191
2001-12-12,-503.1076878909107
2001-12-13,-536.5477149729015
2001-12-14,-534.0063705343181
2001-12-17,-506.7449256833699
2001-12-18,-521.0493240591408
2001-12-19,-518.3056796686019
2001-12-20,-565.9393233077571
2001-12-21,-416.9351202940453
2001-12-24,-433.16422548264416
2001-12-26,-426.39298206915794
2001-12-27,-425.74517517375966
2001-12-28,-408.6770068071981
2001-12-31,-471.58115920467225
2002-01-02,-502.0961673263603
2002-01-03,-491.2260122151533
2002-01-04,-457.6315012359868
2002-01-07,-489.077844297723
2002-01-08,-445.97137577995846
2002-01-09,-524.3798253404609
2002-01-10,-513.8330370008389
2002-01-11,-452.2217753216901
2002-01-14,-514.082782153242
2002-01-15,-483.9785294802408
2002-01-16,-531.8311905782674
2002-01-17,-447.88524181122943
2002-01-18,-576.6914924632716
2002-01-22,-525.6480007056828
2002-01-23,-574.5150618708383
2002-01-24,-508.32325846400965
