,0
2002-01-02,-490.97420247724176
2002-01-03,-472.6852848028565
2002-01-04,-430.7387496926436
2002-01-07,-444.66192587649346
2002-01-08,-421.9460197490583
2002-01-09,-480.84488714912175
2002-01-10,-438.5329837073049
2002-01-11,-425.5780347279023
2002-01-14,-474.8207842070651
2002-01-15,-447.11038313401946
2002-01-16,-481.150413107449
2002-01-17,-425.65200792740586
2002-01-18,-522.4890830095483
2002-01-22,-505.73064583991385
2002-01-23,-514.8441788806934
2002-01-24,-471.8686686133663
2002-01-25,-457.88182227503955
2002-01-28,-601.163245088561
2002-01-29,-486.0588078357006
2002-01-30,-494.19245628277963
2002-01-31,-509.8357812075839
2002-02-01,-484.61224797918226
2002-02-04,-512.8960081488526
2002-02-05,-587.8103116214377
2002-02-06,-506.8448826033707
2002-02-07,-504.27672647229633
2002-02-08,-483.32903317643655
2002-02-11,-439.5836902411638
2002-02-12,-472.46090638373977
2002-02-13,-455.12105513706933
2002-02-14,-504.44754528184046
2002-02-15,-525.043775302145
2002-02-19,-484.852119098368
2002-02-20,-468.47777650660566
2002-02-21,-468.06729683887147
2002-02-22,-498.19509540375884
2002-02-25,-458.93075560349973
2002-02-26,-495.0128855898789
2002-02-27,-507.95154393747725
2002-02-28,-541.4062968034534
2002-03-01,-590.7120602057373
2002-03-04,-517.4979129514622
2002-03-05,-446.3053318904389
2002-03-06,-478.00621935013015
2002-03-07,-480.8396223605535
2002-03-08,-453.66396295532013
2002-03-11,-430.65524129637686
2002-03-12,-415.6903428426675
2002-03-13,-444.20268865330036
2002-03-14,-479.3530977624263
2002-03-15,-430.6065801531811
2002-03-18,-435.7403897295593
2002-03-19,-487.64401588932867
2002-03-20,-426.26126600871476
2002-03-21,-418.1783062304347
2002-03-22,-407.782399550782
2002-03-25,-423.8035358339282
2002-03-26,-453.28826490394397
2002-03-27,-416.1788781286806
2002-03-28,-411.73841160195354
2002-04-01,-418.668245692876
2002-04-02,-417.46377307427184
2002-04-03,-497.1579900443254
2002-04-04,-434.2852024598818
2002-04-05,-444.81476475536056
2002-04-08,-443.67543303724506
2002-04-09,-450.9186524187545
2002-04-10,-447.9972112676617
2002-04-11,-437.0159637946675
2002-04-12,-448.77356626669183
2002-04-15,-477.7617052276991
2002-04-16,-471.4524727102729
2002-04-17,-495.27904579637965
2002-04-18,-463.11870618720906
2002-04-19,-459.61618278575577
2002-04-22,-482.009105660131
2002-04-23,-531.3916568602883
2002-04-24,-525.3936079834447
2002-04-25,-577.305431795402
2002-04-26,-505.8971220357597
2002-04-29,-497.260785489514
2002-04-30,-452.9705070521952
2002-05-01,-463.1369100459411
2002-05-02,-445.7287946898609
2002-05-03,-455.25574392453655
2002-05-06,-452.9171844322973
2002-05-07,-565.8777361856497
2002-05-08,-435.99792130679043
2002-05-09,-473.70045995324995
2002-05-10,-484.2761719066966
2002-05-13,-472.3413454921463
2002-05-14,-557.7920703286875
2002-05-15,-513.3839564254527
2002-05-16,-438.50075741951736
2002-05-17,-425.045194820823
2002-05-20,-438.8093640369084
2002-05-21,-450.66256075492635
2002-05-22,-456.4730371174795
2002-05-23,-407.9492068010316
2002-05-24,-402.1276277316051
2002-05-28,-421.69941619606016
2002-05-29,-442.1440073633469
2002-05-30,-453.26517275640873
2002-05-31,-514.9261974466689
2002-06-03,-424.8445237385727
2002-06-04,-455.8448848263473
2002-06-05,-463.80643508877887
2002-06-06,-626.7739490119893
2002-06-07,-457.4490420453858
2002-06-10,-490.50686495469654
2002-06-11,-670.9020059529192
2002-06-12,-453.22914383184036
2002-06-13,-466.3664709035695
2002-06-14,-501.63318443465107
2002-06-17,-454.8493725363486
2002-06-18,-501.4670582820138
2002-06-19,-510.8497740380135
2002-06-20,-658.1726276179035
2002-06-21,-482.5468420211299
2002-06-24,-549.4230573591085
2002-06-25,-604.4169254336462
2002-06-26,-595.6590692246775
2002-06-27,-675.698495042381
2002-06-28,-572.6649896572333
2002-07-01,-540.2315155459684
2002-07-02,-519.8599266038219
2002-07-03,-480.30419380244876
2002-07-05,-476.34182083508705
2002-07-08,-512.4339943293646
2002-07-09,-544.0485755100226
2002-07-10,-626.086138766191
2002-07-11,-531.826488168227
2002-07-12,-531.7204241543527
2002-07-15,-607.5855022067976
2002-07-16,-971.5029947316234
2002-07-17,-881.0130007589498
2002-07-18,-728.4840919883075
2002-07-19,-705.5779219823075
2002-07-22,-847.3150598616437
2002-07-23,-859.2216645831718
2002-07-24,-976.424865771716
2002-07-25,-649.6738400045117
2002-07-26,-717.126829606228
2002-07-29,-615.5678037635882
2002-07-30,-586.7536734440018
2002-07-31,-653.4958613508696
2002-08-01,-526.5189261526981
2002-08-02,-570.1196658013728
2002-08-05,-557.6351140505184
2002-08-06,-616.4429628475775
2002-08-07,-634.5213863167829
2002-08-08,-504.1773098355288
2002-08-09,-492.78032375322454
2002-08-12,-541.9055083459888
2002-08-13,-555.5778223238754
2002-08-14,-541.9073991311358
2002-08-15,-509.9468139728215
2002-08-16,-517.7483156611619
2002-08-19,-507.47749338346705
2002-08-20,-500.2943916959398
2002-08-21,-700.2075517313328
2002-08-22,-530.1174293907823
2002-08-23,-474.32181314044664
2002-08-26,-495.71483659377856
2002-08-27,-483.9975481566382
2002-08-28,-482.18038326911767
2002-08-29,-461.7345245500446
2002-08-30,-505.8414445305203
2002-09-03,-498.0887110218945
2002-09-04,-558.3494587067348
2002-09-05,-489.69770395552223
2002-09-06,-474.54517547600017
2002-09-09,-482.54303586506
2002-09-10,-458.3428506164891
2002-09-11,-486.3595136351839
2002-09-12,-502.28553621817986
2002-09-13,-525.5914493674047
2002-09-16,-537.9039130150445
2002-09-17,-497.50491592969286
2002-09-18,-623.2100312801654
2002-09-19,-540.1525963946316
2002-09-20,-544.3353692105959
2002-09-23,-572.9942599881865
2002-09-24,-594.7433177468565
2002-09-25,-540.4685786206053
2002-09-26,-547.1332140211623
2002-09-27,-525.1946722214419
2002-09-30,-564.5895067006437
2002-10-01,-671.7074634266971
2002-10-02,-596.021524275454
2002-10-03,-567.3687191080145
2002-10-04,-584.3770101382453
2002-10-07,-690.8474929188791
2002-10-08,-616.0782640399101
2002-10-09,-749.2012738985375
2002-10-10,-622.7249446068566
2002-10-11,-529.678688382491
2002-10-14,-742.3379883247268
2002-10-15,-600.6356537298486
2002-10-16,-754.7202749908765
2002-10-17,-582.8671233554464
2002-10-18,-571.8012245396516
2002-10-21,-593.8251254057523
2002-10-22,-547.653804835335
2002-10-23,-622.5109037136083
2002-10-24,-672.3463248603625
2002-10-25,-554.1598841727085
2002-10-28,-533.9115506746015
2002-10-29,-604.8649653292075
2002-10-30,-605.7382288140793
2002-10-31,-522.8507644078364
2002-11-01,-567.5759677279673
2002-11-04,-527.8855447562728
2002-11-05,-574.137392581225
2002-11-06,-521.3994917068194
2002-11-07,-565.1707010240272
2002-11-08,-500.6228184643144
2002-11-11,-552.0711156682986
2002-11-12,-525.5057426860382
2002-11-13,-568.3823010467926
2002-11-14,-526.0166084059038
2002-11-15,-512.3666706680003
2002-11-18,-567.1457550251212
2002-11-19,-518.8612271460961
2002-11-20,-594.9883634711862
2002-11-21,-525.846518659493
2002-11-22,-535.7178891811077
2002-11-25,-493.4523078715806
2002-11-26,-492.79209521314795
2002-11-27,-466.77252020761955
2002-11-29,-500.67542662740703
2002-12-02,-504.7991032342114
2002-12-03,-490.6062343505189
2002-12-04,-464.0412154891382
2002-12-05,-477.03849365028117
2002-12-06,-476.5649421309813
2002-12-09,-493.2434805030745
2002-12-10,-483.7764451452872
2002-12-11,-487.76569388936844
2002-12-12,-463.5550515919979
2002-12-13,-471.2304629743817
2002-12-16,-474.1671689216443
2002-12-17,-506.4519501833262
2002-12-18,-470.60475002327155
2002-12-19,-500.1847268040481
2002-12-20,-460.9944789361914
2002-12-23,-410.3192418596793
2002-12-24,-424.2859516517266
2002-12-26,-418.21844583634373
2002-12-27,-431.64410135847766
2002-12-30,-409.74727483487413
2002-12-31,-463.9972765504354
2003-01-02,-550.4336201427444
2003-01-03,-529.0029657381461
2003-01-06,-480.05420509027493
2003-01-07,-474.272494762763
2003-01-08,-458.5212896059972
2003-01-09,-453.72912932510064
2003-01-10,-463.1229746418844
2003-01-13,-409.0275882850854
2003-01-14,-488.7298456622466
2003-01-15,-471.4287367429895
2003-01-16,-437.94225250074913
2003-01-17,-509.34504867307794
2003-01-21,-544.5560700167034
2003-01-22,-571.6567313493962
2003-01-23,-432.876151465376
2003-01-24,-451.2284846202818
2003-01-27,-496.7549288657934
2003-01-28,-469.95581637325563
2003-01-29,-577.3321025559342
2003-01-30,-461.93290506667734
2003-01-31,-465.55131476485144
2003-02-03,-441.2288155345626
2003-02-04,-444.28434945463755
2003-02-05,-613.9038442127508
2003-02-06,-448.4004912838157
2003-02-07,-443.870801589253
2003-02-10,-420.314955648137
2003-02-11,-463.91739921384624
2003-02-12,-479.58852861936384
2003-02-13,-457.4863600376576
2003-02-14,-513.7028761827519
2003-02-18,-420.53367259448794
2003-02-19,-454.49030729283425
2003-02-20,-418.865754060811
2003-02-21,-433.4492890027904
2003-02-24,-428.19666654489265
2003-02-25,-428.4928354602513
2003-02-26,-432.6968393455083
2003-02-27,-461.4867261903412
2003-02-28,-449.71361240762394
2003-03-03,-413.14793882798295
2003-03-04,-468.3193627275811
2003-03-05,-416.9812003257417
2003-03-06,-434.6007656578557
2003-03-07,-534.8943113150872
2003-03-10,-477.0675249315026
2003-03-11,-457.5236985306132
2003-03-12,-735.9715570388637
2003-03-13,-472.9587292364366
2003-03-14,-488.2527342346117
2003-03-17,-462.1984394292864
